offer_accepted,reward,mailer_type,income_level,bank_accounts_open,overdraft_protection,credit_rating,credit_cards_held,homes_owned,household_size,own_your_home,average_balance,q3_balance,range,min
No,Points,Postcard,Medium,1,No,Medium,2,1,4,Yes,279.25,254.0,343.0,75.0
No,Cash Back,Letter,High,1,No,Low,2,1,4,No,328.25,340.0,180.0,207.0
No,Cash Back,Postcard,Medium,1,Yes,Medium,2,1,1,Yes,926.5,404.0,921.0,404.0
Yes,Points,Letter,Medium,2,No,Medium,1,1,3,No,1046.25,1126.0,1090.0,303.0
No,Air Miles,Postcard,Low,2,Yes,Low,3,1,3,Yes,1095.5,924.0,1661.0,239.0
No,Points,Postcard,High,1,Yes,High,1,2,1,Yes,755.25,579.0,305.0,579.0
No,Air Miles,Postcard,High,1,No,High,2,1,4,Yes,1190.5,971.0,1202.0,480.0
No,Air Miles,Letter,High,1,No,Low,1,1,2,No,1145.0,971.0,1674.0,277.0
Yes,Points,Letter,Low,1,No,Low,1,1,2,Yes,1009.5,783.0,1778.0,152.0
No,Air Miles,Letter,Low,1,No,High,2,1,5,Yes,1007.75,821.0,1829.0,192.0
No,Cash Back,Letter,Low,1,No,Low,1,1,4,Yes,859.25,582.0,760.0,582.0
No,Cash Back,Postcard,Low,2,No,Low,1,1,2,Yes,1099.0,893.0,1838.0,121.0
No,Cash Back,Letter,Medium,1,No,High,2,2,6,No,1342.0,1561.0,577.0,984.0
No,Air Miles,Letter,Medium,2,No,Low,2,1,5,Yes,212.25,4.0,438.0,4.0
No,Cash Back,Postcard,High,1,No,Medium,1,2,5,Yes,1213.5,1352.0,427.0,1004.0
No,Points,Letter,Low,1,No,High,1,1,3,Yes,1091.25,1294.0,901.0,678.0
No,Points,Postcard,Medium,1,No,High,2,1,4,Yes,1011.75,1630.0,1150.0,480.0
No,Air Miles,Letter,Medium,1,No,Low,2,2,3,No,891.25,806.0,174.0,806.0
No,Cash Back,Letter,Low,1,No,Medium,2,1,3,No,1242.75,2123.0,1650.0,473.0
No,Points,Letter,High,2,No,High,1,1,4,Yes,912.5,634.0,1218.0,313.0
No,Cash Back,Postcard,High,2,No,Medium,1,1,3,No,938.5,1968.0,1960.0,8.0
No,Cash Back,Letter,Medium,1,No,Low,2,1,3,Yes,1269.0,2076.0,2052.0,24.0
No,Air Miles,Postcard,Low,2,No,Low,1,1,3,No,679.0,646.0,286.0,511.0
No,Cash Back,Letter,High,2,No,Low,3,2,3,No,1072.5,562.0,1502.0,375.0
No,Cash Back,Letter,Low,2,No,Medium,1,2,4,Yes,1136.0,1752.0,1844.0,219.0
No,Cash Back,Postcard,Medium,1,No,High,2,3,2,Yes,1070.75,2132.0,1998.0,134.0
No,Air Miles,Letter,High,2,No,Low,3,2,3,Yes,1600.0,1626.0,249.0,1503.0
No,Cash Back,Letter,High,2,No,Low,2,1,3,Yes,881.5,1022.0,1378.0,249.0
Yes,Points,Letter,Medium,1,No,Low,3,1,3,Yes,813.0,773.0,365.0,632.0
No,Air Miles,Postcard,Medium,1,No,Medium,2,1,3,No,905.0,728.0,1341.0,179.0
No,Cash Back,Postcard,Medium,1,No,Low,3,1,5,Yes,1113.25,735.0,1499.0,366.0
No,Cash Back,Postcard,Low,1,No,Low,1,2,3,No,1197.75,1978.0,1791.0,187.0
No,Cash Back,Postcard,High,1,No,Medium,2,1,4,Yes,1444.0,1864.0,703.0,1161.0
No,Air Miles,Postcard,Medium,2,No,High,2,2,3,Yes,1071.5,1395.0,1022.0,444.0
Yes,Air Miles,Postcard,Medium,1,No,Medium,3,2,3,Yes,886.0,1550.0,1148.0,402.0
No,Cash Back,Postcard,Medium,1,Yes,High,2,1,5,Yes,1277.5,2008.0,1288.0,720.0
No,Air Miles,Letter,Medium,1,No,High,2,1,3,No,1055.75,501.0,1346.0,501.0
No,Cash Back,Postcard,Medium,2,No,Medium,1,1,4,Yes,196.25,11.0,294.0,11.0
No,Cash Back,Letter,Low,1,No,High,3,1,3,Yes,1030.5,754.0,1659.0,125.0
No,Air Miles,Letter,Low,1,Yes,High,2,2,3,Yes,1260.5,1201.0,1099.0,804.0
No,Points,Letter,Medium,1,No,Low,1,1,5,Yes,896.0,909.0,125.0,844.0
No,Air Miles,Letter,Medium,3,No,Medium,3,1,3,Yes,1391.5,1633.0,903.0,850.0
No,Points,Postcard,Low,1,No,Medium,1,1,5,Yes,667.5,819.0,313.0,512.0
No,Cash Back,Letter,High,1,Yes,Low,1,1,3,Yes,314.75,82.0,401.0,82.0
No,Air Miles,Letter,Low,2,No,High,1,1,5,No,1087.5,961.0,1320.0,315.0
No,Points,Letter,Medium,1,No,High,3,1,5,Yes,1494.75,1954.0,818.0,1136.0
No,Points,Postcard,Medium,1,Yes,High,2,1,1,Yes,1265.5,2129.0,1577.0,552.0
No,Air Miles,Postcard,Low,1,No,Low,3,1,3,Yes,1080.25,971.0,1489.0,201.0
No,Air Miles,Letter,Low,1,No,Medium,1,1,4,Yes,718.0,687.0,285.0,550.0
No,Cash Back,Letter,Medium,1,No,Low,1,1,3,No,717.25,673.0,378.0,572.0
No,Points,Letter,Low,1,No,Low,1,1,5,Yes,1003.25,798.0,1535.0,250.0
No,Air Miles,Letter,High,1,No,High,1,1,4,Yes,899.25,949.0,854.0,423.0
No,Air Miles,Postcard,Medium,1,No,Medium,2,1,3,Yes,880.0,1228.0,690.0,538.0
No,Points,Postcard,Low,1,No,Low,1,2,4,Yes,1096.5,941.0,1415.0,661.0
No,Points,Letter,Medium,1,No,Low,2,2,2,Yes,266.5,169.0,364.0,68.0
No,Cash Back,Letter,High,2,No,Medium,1,1,5,Yes,1275.0,1763.0,1535.0,598.0
No,Points,Postcard,High,1,No,High,2,1,3,No,991.75,673.0,1789.0,40.0
No,Points,Postcard,Medium,2,No,High,1,1,5,No,687.0,619.0,101.0,619.0
No,Air Miles,Letter,Low,2,No,Medium,2,1,2,Yes,939.0,707.0,1540.0,142.0
No,Air Miles,Postcard,High,1,No,Medium,2,1,4,Yes,283.75,257.0,446.0,17.0
No,Points,Letter,Low,2,No,Low,1,2,4,Yes,186.5,133.0,285.0,33.0
No,Air Miles,Letter,Low,1,No,Low,1,2,2,No,192.75,272.0,266.0,60.0
No,Air Miles,Letter,Low,1,Yes,Medium,2,1,3,Yes,895.0,597.0,1268.0,286.0
No,Air Miles,Letter,Low,1,No,High,3,1,2,No,1346.5,2071.0,1270.0,801.0
No,Air Miles,Postcard,Medium,1,No,High,1,3,4,Yes,1038.0,1605.0,1533.0,301.0
Yes,Cash Back,Postcard,Medium,1,No,Low,1,1,4,No,799.5,1522.0,1150.0,372.0
No,Air Miles,Postcard,Medium,1,No,Medium,2,2,4,Yes,1163.5,756.0,1299.0,756.0
No,Points,Postcard,Medium,1,No,Medium,1,1,3,No,1075.25,1206.0,988.0,483.0
No,Cash Back,Postcard,High,1,No,Medium,2,2,2,No,830.0,886.0,226.0,681.0
No,Air Miles,Postcard,Medium,1,No,High,3,2,3,Yes,940.0,636.0,1825.0,138.0
No,Cash Back,Letter,Medium,1,No,Medium,2,1,5,Yes,163.75,19.0,322.0,19.0
No,Air Miles,Postcard,Medium,1,No,Low,2,1,5,Yes,999.5,760.0,1575.0,242.0
No,Points,Letter,High,1,Yes,Medium,2,1,3,No,867.75,1104.0,1143.0,201.0
No,Cash Back,Letter,Low,2,No,Medium,2,1,6,Yes,844.75,934.0,1337.0,254.0
No,Air Miles,Postcard,High,1,No,High,2,1,4,No,268.75,23.0,426.0,23.0
No,Air Miles,Postcard,Medium,2,No,Low,3,1,4,Yes,967.5,1533.0,1085.0,448.0
No,Air Miles,Letter,High,1,No,Medium,2,2,2,No,3366.25,3823.0,1706.0,2509.0
No,Air Miles,Postcard,High,1,No,Low,1,1,3,Yes,1119.5,1641.0,1215.0,426.0
No,Cash Back,Postcard,Low,1,No,High,1,1,4,Yes,1193.25,825.0,1195.0,825.0
No,Air Miles,Letter,Low,1,No,Low,2,1,3,No,1237.5,1508.0,1713.0,441.0
No,Air Miles,Letter,High,1,No,Low,2,2,4,Yes,973.0,680.0,1126.0,379.0
No,Air Miles,Postcard,Medium,2,No,Medium,1,1,3,Yes,706.75,865.0,325.0,540.0
Yes,Points,Postcard,Medium,2,No,Medium,3,1,6,Yes,1301.0,1514.0,1346.0,683.0
No,Points,Letter,Medium,1,No,High,2,1,4,Yes,764.5,572.0,367.0,572.0
No,Cash Back,Letter,Low,1,No,High,3,1,3,No,1749.0,1574.0,425.0,1574.0
No,Points,Postcard,High,1,No,Medium,1,1,3,Yes,785.25,1015.0,605.0,499.0
No,Air Miles,Letter,Medium,1,Yes,Medium,3,1,5,No,223.0,175.0,379.0,23.0
No,Cash Back,Letter,Low,1,No,Low,3,2,4,Yes,219.75,176.0,284.0,54.0
No,Air Miles,Letter,Medium,1,No,Medium,3,1,4,Yes,920.75,564.0,1829.0,108.0
No,Points,Letter,Low,1,No,Low,3,2,4,Yes,1145.0,1268.0,642.0,694.0
No,Cash Back,Letter,Medium,2,No,High,1,2,2,No,1040.75,911.0,1384.0,213.0
No,Points,Postcard,Medium,2,No,Medium,1,1,4,No,877.0,985.0,974.0,468.0
No,Air Miles,Letter,Medium,2,No,High,2,2,3,No,886.5,1997.0,1804.0,193.0
No,Cash Back,Postcard,Medium,2,No,Low,2,1,2,Yes,840.0,1307.0,1028.0,279.0
No,Air Miles,Letter,Low,1,Yes,Medium,1,1,3,Yes,1284.0,1075.0,625.0,989.0
No,Points,Postcard,Medium,1,No,Low,1,1,4,No,1253.25,1801.0,1352.0,449.0
No,Points,Letter,High,1,No,High,2,1,4,No,1274.5,2000.0,1860.0,140.0
No,Points,Letter,Medium,1,No,Low,2,2,4,No,1483.25,1936.0,1078.0,858.0
No,Points,Postcard,High,1,No,Medium,2,1,3,No,996.25,946.0,1641.0,76.0
No,Cash Back,Postcard,Low,2,No,Low,1,3,3,No,1108.0,1219.0,1363.0,235.0
No,Air Miles,Postcard,Medium,1,No,Medium,2,1,4,No,1486.0,1909.0,763.0,1146.0
No,Air Miles,Postcard,Low,1,Yes,High,2,1,4,Yes,1057.5,1219.0,1132.0,320.0
No,Cash Back,Letter,Medium,1,No,High,1,1,3,Yes,977.0,913.0,1477.0,43.0
No,Air Miles,Letter,Medium,1,No,Medium,3,1,3,Yes,1065.75,991.0,1283.0,261.0
No,Air Miles,Postcard,Medium,1,No,High,1,1,4,Yes,1541.0,1905.0,547.0,1358.0
No,Cash Back,Letter,Low,1,No,Medium,3,1,4,Yes,1214.25,661.0,1287.0,661.0
No,Air Miles,Postcard,High,1,Yes,Low,1,1,4,Yes,279.75,428.0,254.0,174.0
No,Air Miles,Letter,Low,2,No,High,3,1,1,Yes,955.5,874.0,1645.0,18.0
No,Air Miles,Postcard,Medium,3,Yes,Low,2,1,2,No,203.0,97.0,199.0,97.0
No,Points,Letter,Low,2,No,Low,1,1,4,Yes,960.5,1216.0,1213.0,465.0
No,Cash Back,Postcard,Medium,2,Yes,Medium,1,1,3,No,1340.5,2061.0,1358.0,703.0
No,Cash Back,Postcard,High,1,No,Medium,2,1,5,Yes,423.5,456.0,94.0,370.0
No,Cash Back,Postcard,High,3,Yes,Medium,3,1,5,Yes,1223.0,1878.0,1269.0,609.0
No,Cash Back,Postcard,Medium,1,No,Low,1,1,5,No,817.0,1692.0,1683.0,9.0
No,Air Miles,Postcard,Medium,1,Yes,High,3,1,4,No,1367.25,1334.0,965.0,893.0
No,Air Miles,Letter,Medium,1,No,Low,1,1,3,Yes,1088.0,992.0,372.0,963.0
No,Cash Back,Letter,Medium,1,No,Low,1,1,4,Yes,1027.75,1093.0,696.0,720.0
No,Air Miles,Letter,Medium,1,No,High,3,1,4,No,898.5,516.0,1304.0,318.0
No,Air Miles,Letter,Low,2,No,Low,2,1,4,No,954.5,1073.0,1527.0,368.0
No,Points,Letter,Low,1,No,High,2,1,2,Yes,1046.25,774.0,1702.0,176.0
No,Cash Back,Postcard,Medium,1,No,High,2,1,4,Yes,1136.25,1156.0,927.0,550.0
No,Air Miles,Postcard,High,1,No,Medium,2,1,4,No,918.75,675.0,753.0,518.0
No,Air Miles,Postcard,High,1,No,Medium,2,2,3,Yes,866.5,427.0,1776.0,204.0
No,Air Miles,Postcard,High,1,No,Medium,1,1,5,Yes,1291.0,1521.0,1205.0,624.0
No,Air Miles,Postcard,Medium,2,No,Medium,3,1,3,Yes,1118.0,914.0,1753.0,239.0
No,Cash Back,Letter,Medium,2,No,Medium,3,1,2,No,950.75,788.0,1740.0,135.0
No,Air Miles,Postcard,Medium,1,No,Medium,2,2,3,No,1330.5,1787.0,702.0,1085.0
No,Air Miles,Postcard,High,1,No,Medium,2,1,3,Yes,684.25,577.0,255.0,577.0
No,Air Miles,Postcard,Medium,1,No,Medium,2,2,5,Yes,1303.75,1986.0,1131.0,855.0
Yes,Cash Back,Postcard,Low,1,No,Low,1,2,4,Yes,1466.25,1631.0,983.0,1036.0
No,Points,Letter,Medium,1,No,Medium,1,1,4,Yes,1248.5,2107.0,1554.0,553.0
No,Cash Back,Letter,Medium,1,No,Low,2,1,3,No,1224.5,1756.0,1452.0,304.0
No,Cash Back,Postcard,Low,1,No,High,2,1,3,Yes,259.5,362.0,226.0,136.0
No,Points,Letter,Medium,1,No,Medium,2,1,3,Yes,152.5,9.0,388.0,9.0
No,Cash Back,Postcard,Low,1,Yes,High,1,1,5,No,1186.0,407.0,1556.0,407.0
No,Points,Letter,Medium,2,Yes,Low,1,1,2,Yes,1053.25,577.0,1428.0,496.0
No,Points,Letter,Medium,1,No,Low,2,1,2,Yes,1454.0,1635.0,681.0,1041.0
No,Air Miles,Postcard,Low,1,No,Medium,2,1,4,Yes,1359.75,1759.0,1756.0,424.0
No,Air Miles,Postcard,Medium,1,No,High,1,1,5,Yes,1480.0,1935.0,785.0,1150.0
No,Points,Postcard,Medium,2,No,Medium,1,1,4,Yes,1189.75,821.0,857.0,821.0
No,Cash Back,Letter,Medium,1,No,Medium,3,1,2,Yes,141.5,50.0,235.0,50.0
No,Air Miles,Postcard,High,2,No,Low,3,1,5,No,1168.75,1545.0,1333.0,432.0
No,Points,Postcard,Medium,1,No,Medium,2,1,5,No,1417.25,2145.0,1497.0,648.0
No,Air Miles,Letter,High,1,No,Low,2,1,4,Yes,1411.25,1664.0,861.0,868.0
No,Air Miles,Postcard,Medium,1,Yes,Low,1,1,4,No,1093.0,1073.0,1818.0,62.0
No,Points,Letter,High,1,Yes,High,2,1,2,Yes,1057.25,751.0,1524.0,334.0
No,Air Miles,Postcard,High,2,No,High,2,2,2,Yes,982.25,1896.0,1465.0,431.0
No,Cash Back,Letter,High,1,No,Low,1,1,5,Yes,409.0,377.0,138.0,342.0
No,Cash Back,Letter,Low,1,No,Low,1,1,3,No,1039.5,795.0,1315.0,326.0
No,Air Miles,Postcard,Medium,1,No,High,3,1,2,Yes,959.25,1082.0,818.0,475.0
No,Air Miles,Letter,Medium,3,No,High,1,1,4,No,863.5,960.0,269.0,691.0
No,Cash Back,Postcard,Low,2,No,Low,1,1,4,Yes,878.75,1232.0,1472.0,191.0
No,Points,Letter,Medium,1,No,High,2,1,5,No,208.5,205.0,267.0,59.0
No,Points,Postcard,High,1,No,Medium,3,2,3,No,962.25,1753.0,1407.0,346.0
No,Air Miles,Postcard,High,1,No,Medium,2,1,4,Yes,1143.75,1515.0,1267.0,531.0
No,Points,Letter,Low,3,No,Medium,2,2,3,Yes,1147.5,663.0,1533.0,463.0
No,Cash Back,Letter,Low,1,No,High,1,1,3,No,940.25,956.0,1604.0,52.0
Yes,Points,Postcard,High,1,No,Low,2,1,5,Yes,260.75,112.0,254.0,112.0
No,Air Miles,Letter,High,2,No,Medium,2,1,4,Yes,793.5,1337.0,1139.0,198.0
No,Cash Back,Letter,High,1,No,Medium,2,1,4,Yes,314.75,151.0,281.0,151.0
No,Cash Back,Letter,Low,1,No,Low,2,1,4,Yes,685.25,703.0,452.0,524.0
Yes,Cash Back,Letter,High,1,No,Low,2,1,4,Yes,1146.75,1705.0,959.0,746.0
No,Points,Letter,Low,1,No,Low,2,1,5,Yes,979.25,1363.0,1032.0,331.0
No,Points,Postcard,Low,1,No,Low,1,1,4,Yes,1327.75,1668.0,1401.0,408.0
No,Cash Back,Postcard,Medium,2,No,High,2,1,5,No,1031.75,587.0,1616.0,246.0
No,Air Miles,Postcard,Low,1,No,Medium,4,1,3,Yes,1043.25,749.0,1045.0,599.0
No,Cash Back,Postcard,High,1,Yes,Medium,1,1,2,No,806.75,1295.0,1254.0,41.0
No,Air Miles,Letter,High,2,No,Medium,2,1,4,No,712.0,663.0,126.0,663.0
No,Points,Letter,Medium,1,No,High,3,1,4,No,767.0,779.0,151.0,687.0
No,Air Miles,Postcard,Medium,1,No,Low,2,1,3,No,205.25,140.0,302.0,80.0
No,Air Miles,Letter,High,2,No,High,1,1,5,Yes,1129.75,619.0,945.0,619.0
No,Cash Back,Postcard,Medium,1,No,Low,2,1,2,No,1057.25,829.0,1633.0,333.0
No,Air Miles,Postcard,High,1,No,High,2,1,3,Yes,783.25,944.0,403.0,562.0
No,Air Miles,Postcard,Medium,1,No,Medium,2,1,2,Yes,1310.5,1702.0,1436.0,393.0
No,Points,Letter,High,1,Yes,High,2,1,6,Yes,1094.25,927.0,1755.0,193.0
No,Air Miles,Letter,High,1,Yes,Medium,3,1,3,No,704.25,989.0,460.0,529.0
No,Points,Postcard,Low,1,No,Low,3,2,3,Yes,1090.0,963.0,1478.0,361.0
No,Cash Back,Postcard,High,1,No,High,3,1,4,Yes,1108.0,1513.0,1932.0,219.0
No,Air Miles,Letter,Medium,1,No,High,1,1,3,Yes,1196.75,1137.0,566.0,930.0
No,Air Miles,Letter,Low,1,No,High,2,1,2,No,1012.25,520.0,1665.0,249.0
No,Points,Letter,Medium,1,No,Low,3,2,3,No,1368.5,1158.0,1539.0,513.0
No,Cash Back,Letter,Medium,1,No,Low,1,1,2,Yes,285.0,205.0,437.0,62.0
No,Air Miles,Postcard,Low,1,No,High,3,1,3,No,1213.0,1225.0,854.0,779.0
No,Air Miles,Postcard,Medium,2,No,Low,1,1,4,Yes,1261.5,1511.0,934.0,779.0
No,Cash Back,Letter,Medium,1,No,Medium,1,2,4,No,861.25,1361.0,1231.0,130.0
No,Cash Back,Letter,Medium,1,No,Low,1,1,3,Yes,785.25,1267.0,1151.0,116.0
No,Air Miles,Postcard,Medium,1,No,Low,3,1,4,Yes,271.75,182.0,277.0,182.0
No,Points,Letter,Medium,1,No,High,1,1,3,Yes,1048.0,872.0,1680.0,174.0
No,Air Miles,Letter,Medium,1,No,Medium,2,1,3,Yes,1230.25,2053.0,1261.0,792.0
No,Points,Letter,Medium,2,No,Low,3,2,4,Yes,231.25,229.0,229.0,93.0
No,Air Miles,Letter,High,2,Yes,Low,1,1,4,Yes,1033.25,925.0,1088.0,436.0
Yes,Air Miles,Letter,Medium,1,No,Medium,2,1,2,Yes,1409.75,1404.0,942.0,961.0
No,Points,Letter,Low,1,No,Low,3,1,5,Yes,743.0,720.0,170.0,679.0
No,Points,Postcard,High,2,No,Medium,2,2,3,No,1007.0,954.0,1764.0,43.0
No,Air Miles,Letter,Medium,1,No,High,1,1,4,Yes,1025.25,970.0,1560.0,165.0
No,Cash Back,Postcard,Medium,1,Yes,Low,1,2,2,Yes,1009.0,1767.0,1685.0,82.0
No,Air Miles,Letter,Low,1,No,High,2,1,4,Yes,1393.5,1178.0,1270.0,911.0
No,Cash Back,Letter,Low,1,No,Low,3,1,2,Yes,734.0,896.0,396.0,500.0
No,Air Miles,Postcard,High,2,No,Medium,1,2,6,No,975.5,747.0,1833.0,35.0
No,Points,Letter,Low,2,No,Medium,1,1,5,Yes,848.5,1033.0,1677.0,81.0
No,Cash Back,Postcard,High,2,No,Low,2,1,3,Yes,951.75,913.0,1690.0,53.0
No,Cash Back,Letter,Low,1,No,Low,2,2,4,No,1058.5,1439.0,837.0,602.0
No,Cash Back,Postcard,Medium,1,No,Low,1,2,3,Yes,1303.0,1908.0,990.0,918.0
No,Cash Back,Postcard,Low,2,No,Low,2,1,3,Yes,1147.75,970.0,1735.0,418.0
No,Points,Postcard,Medium,2,No,High,3,1,3,No,982.75,555.0,1210.0,521.0
No,Air Miles,Letter,High,1,No,Medium,2,1,5,Yes,655.5,540.0,291.0,540.0
No,Air Miles,Postcard,High,1,No,Medium,1,1,3,Yes,710.25,569.0,221.0,569.0
No,Points,Letter,Low,2,No,High,2,1,3,No,791.0,1031.0,759.0,447.0
No,Points,Letter,Low,1,No,High,2,1,2,Yes,1054.25,899.0,1725.0,181.0
No,Points,Letter,Low,1,No,High,1,1,4,Yes,1243.0,1720.0,1438.0,282.0
Yes,Air Miles,Postcard,Low,1,No,Low,2,2,3,Yes,1401.25,1597.0,984.0,776.0
No,Air Miles,Postcard,Medium,1,Yes,High,2,1,3,Yes,1109.25,1886.0,1193.0,693.0
No,Cash Back,Letter,Medium,1,Yes,Medium,2,1,3,No,1271.75,1211.0,612.0,1050.0
No,Points,Postcard,Medium,1,No,Medium,1,1,4,Yes,212.5,199.0,303.0,116.0
No,Air Miles,Letter,Low,1,No,High,1,2,3,Yes,761.0,922.0,461.0,524.0
No,Cash Back,Postcard,Medium,1,No,Low,1,1,4,No,330.0,454.0,313.0,161.0
No,Points,Letter,High,3,Yes,Medium,4,1,5,No,1206.75,1266.0,1445.0,613.0
No,Points,Postcard,Low,1,No,High,1,1,4,Yes,992.75,1989.0,1618.0,371.0
No,Air Miles,Letter,Medium,1,No,Low,1,1,3,Yes,748.25,791.0,95.0,696.0
No,Points,Letter,Low,2,No,Medium,1,1,3,No,951.25,792.0,1229.0,226.0
No,Air Miles,Postcard,Medium,1,No,Medium,1,1,3,No,305.5,333.0,313.0,182.0
No,Air Miles,Postcard,High,2,No,Medium,2,1,5,Yes,1015.25,410.0,1559.0,372.0
No,Cash Back,Postcard,Medium,1,No,Medium,2,1,5,No,1078.75,1063.0,1836.0,68.0
No,Air Miles,Postcard,Medium,3,No,High,1,1,4,No,769.25,962.0,336.0,626.0
No,Points,Letter,High,1,No,High,2,1,3,No,790.75,403.0,1173.0,367.0
No,Points,Letter,Medium,1,No,Medium,1,2,5,No,660.5,679.0,205.0,524.0
No,Air Miles,Postcard,Medium,2,No,Medium,1,1,2,Yes,636.5,647.0,256.0,523.0
No,Air Miles,Postcard,High,1,No,Medium,3,1,2,Yes,1355.75,2242.0,1644.0,598.0
Yes,Points,Postcard,Low,1,No,Low,1,2,4,No,1053.0,1771.0,1571.0,200.0
No,Points,Letter,High,1,No,High,1,2,3,Yes,176.0,13.0,475.0,13.0
No,Cash Back,Postcard,Low,1,No,High,2,1,3,Yes,308.0,442.0,263.0,179.0
No,Points,Letter,Medium,1,No,Low,2,1,4,No,700.25,780.0,291.0,536.0
No,Air Miles,Letter,Medium,1,No,High,1,1,2,Yes,1077.0,1519.0,1013.0,506.0
No,Points,Postcard,Low,2,No,High,2,1,3,No,1224.5,1900.0,1829.0,71.0
No,Cash Back,Postcard,Medium,2,No,High,2,2,3,Yes,1048.75,824.0,1786.0,113.0
No,Points,Postcard,Low,1,Yes,High,3,1,4,No,1169.5,1017.0,712.0,746.0
No,Cash Back,Letter,Medium,1,No,Medium,1,2,4,Yes,185.25,297.0,200.0,97.0
No,Cash Back,Letter,Low,1,No,Medium,3,3,3,Yes,985.5,897.0,1469.0,127.0
No,Cash Back,Postcard,Low,1,No,High,3,1,3,Yes,988.5,923.0,1970.0,170.0
No,Cash Back,Letter,High,1,No,Medium,3,1,3,No,1139.5,1377.0,515.0,862.0
No,Cash Back,Postcard,High,1,No,Medium,3,1,2,No,1589.75,1609.0,252.0,1443.0
No,Points,Postcard,Medium,1,No,Medium,4,1,4,No,1345.25,2113.0,1284.0,829.0
No,Cash Back,Postcard,Low,1,No,Medium,3,2,5,Yes,894.5,941.0,1241.0,117.0
No,Air Miles,Postcard,Medium,1,No,High,1,1,4,Yes,1318.25,1754.0,1047.0,810.0
No,Cash Back,Letter,Medium,1,No,Low,3,1,3,Yes,1186.5,952.0,946.0,919.0
No,Air Miles,Postcard,Low,1,No,Low,1,1,2,Yes,291.25,465.0,429.0,36.0
No,Air Miles,Letter,High,2,No,Medium,3,1,1,No,246.0,80.0,346.0,80.0
No,Cash Back,Letter,High,1,No,Medium,2,2,5,Yes,216.5,174.0,401.0,71.0
No,Points,Letter,High,2,No,Low,3,2,4,Yes,1480.5,1722.0,427.0,1295.0
No,Points,Letter,Low,1,No,High,1,1,4,Yes,1154.75,1574.0,822.0,752.0
No,Points,Postcard,Medium,1,No,High,1,1,4,Yes,1112.5,1327.0,1361.0,256.0
No,Air Miles,Postcard,Medium,3,No,High,3,1,4,No,1212.25,905.0,1226.0,894.0
No,Points,Postcard,Medium,2,No,High,1,1,3,Yes,1348.0,2255.0,1974.0,281.0
No,Air Miles,Postcard,Medium,1,No,High,2,1,3,Yes,1248.0,1505.0,1638.0,523.0
No,Points,Letter,Medium,1,No,High,3,1,4,Yes,1104.5,1631.0,1713.0,60.0
No,Points,Letter,Low,1,No,Medium,2,1,6,Yes,686.75,767.0,252.0,515.0
No,Points,Postcard,High,1,No,Medium,2,1,4,Yes,941.25,1048.0,242.0,806.0
No,Points,Postcard,Low,1,Yes,Low,2,1,3,Yes,750.75,819.0,416.0,550.0
No,Air Miles,Postcard,High,1,No,Medium,2,1,4,No,1029.5,2141.0,2124.0,17.0
No,Air Miles,Postcard,High,1,No,High,2,1,2,No,232.5,177.0,106.0,177.0
No,Air Miles,Postcard,Medium,1,Yes,High,1,2,3,Yes,701.25,881.0,366.0,515.0
No,Air Miles,Letter,High,1,No,High,2,1,4,Yes,1317.5,2109.0,1474.0,635.0
No,Air Miles,Postcard,Low,1,No,Medium,2,1,4,Yes,722.25,520.0,337.0,520.0
No,Points,Letter,Low,1,No,Medium,3,1,3,No,930.25,1026.0,557.0,710.0
No,Air Miles,Postcard,Low,2,No,Medium,2,1,5,Yes,755.5,963.0,304.0,659.0
No,Points,Postcard,Low,2,Yes,High,1,1,2,No,304.75,359.0,402.0,97.0
No,Points,Letter,High,1,No,High,3,1,3,Yes,232.5,358.0,233.0,125.0
No,Cash Back,Postcard,High,1,Yes,High,2,1,2,Yes,216.5,257.0,363.0,50.0
No,Cash Back,Letter,High,1,No,Low,2,1,2,Yes,1058.75,823.0,1747.0,155.0
No,Points,Letter,Low,2,Yes,Medium,3,1,2,Yes,1100.75,930.0,443.0,905.0
Yes,Air Miles,Postcard,Medium,1,No,Low,3,1,3,Yes,1158.0,961.0,1528.0,376.0
No,Cash Back,Postcard,High,1,No,Medium,1,1,5,No,786.5,1093.0,754.0,339.0
No,Cash Back,Postcard,High,2,No,Medium,1,1,4,Yes,200.25,141.0,267.0,60.0
No,Cash Back,Postcard,Medium,1,No,Low,3,1,4,Yes,1061.0,1330.0,812.0,540.0
No,Cash Back,Letter,Medium,1,Yes,Low,2,1,3,Yes,1208.0,895.0,957.0,884.0
Yes,Air Miles,Postcard,Low,2,No,Low,2,1,4,Yes,722.75,558.0,355.0,558.0
No,Points,Postcard,Medium,1,No,Medium,1,1,3,No,720.75,630.0,148.0,630.0
No,Air Miles,Postcard,High,2,No,High,2,1,3,No,1088.75,795.0,1732.0,261.0
No,Cash Back,Letter,Low,1,Yes,Low,1,1,5,No,643.25,580.0,316.0,521.0
No,Air Miles,Postcard,Low,1,No,Low,1,1,2,Yes,599.0,521.0,204.0,521.0
No,Points,Letter,Medium,1,No,Medium,2,2,4,No,1055.25,835.0,684.0,801.0
No,Points,Postcard,High,2,No,Medium,2,1,2,Yes,769.75,668.0,161.0,668.0
No,Points,Postcard,Medium,2,No,Low,2,1,3,Yes,982.75,630.0,1235.0,358.0
No,Cash Back,Postcard,Low,1,No,Medium,1,1,4,No,1076.5,795.0,1485.0,498.0
